F195F	.	0072	0020	0008	SITELEN PONA IDEOGRAPH SINPIN
F1960	.	0073	0020	0008	SITELEN PONA IDEOGRAPH SITELEN
F1981	.	0074	0020	0008	SITELEN PONA IDEOGRAPH SOKO
F1961	.	0075	0020	0008	SITELEN PONA IDEOGRAPH SONA
F1962	.	0076	0020	0008	SITELEN PONA IDEOGRAPH SOWELI
F1963	.	0077	0020	0008	SITELEN PONA IDEOGRAPH SULI
F1964	.	0078	0020	0008	SITELEN PONA IDEOGRAPH SUNO
F1965	.	0079	0020	0008	SITELEN PONA IDEOGRAPH SUPA
F1966	.	007A	0020	0008	SITELEN PONA IDEOGRAPH SUWI
F1967	.	007B	0020	0008	SITELEN PONA IDEOGRAPH TAN
F1968	.	007C	0020	0008	SITELEN PONA IDEOGRAPH TASO
F1969	.	007D	0020	0008	SITELEN PONA IDEOGRAPH TAWA
F196A	.	007E	0020	0008	SITELEN PONA IDEOGRAPH TELO
F196B	.	007F	0020	0008	SITELEN PONA IDEOGRAPH TENPO
F196C	.	0080	0020	0008	SITELEN PONA IDEOGRAPH TOKI
F196D	.	0081	0020	0008	SITELEN PONA IDEOGRAPH TOMO
F197E	.	0082	0020	0008	SITELEN PONA IDEOGRAPH TONSI
F196E	.	0083	0020	0008	SITELEN PONA IDEOGRAPH TU
F196F	.	0084	0020	0008	SITELEN PONA IDEOGRAPH UNPA
F1970	.	0085	0020	0008	SITELEN PONA IDEOGRAPH UTA
F1971	.	0086	0020	0008	SITELEN PONA IDEOGRAPH UTALA
F1972	.	0087	0020	0008	SITELEN PONA IDEOGRAPH WALO
F1973	.	0088	0020	0008	SITELEN PONA IDEOGRAPH WAN
F1974	.	0089	0020	0008	SITELEN PONA IDEOGRAPH WASO
F1975	.	008A	0020	0008	SITELEN PONA IDEOGRAPH WAWA
F1976	.	008B	0020	0008	SITELEN PONA IDEOGRAPH WEKA
F1977	.	008C	0020	0008	SITELEN PONA IDEOGRAPH WILE
F1990	*	008D	0020	0008	SITELEN PONA START OF CARTOUCHE
F1991	*	008E	0020	0008	SITELEN PONA END OF CARTOUCHE
F1992	*	008F	0020	0008	SITELEN PONA COMBINING CARTOUCHE EXTENSION
F1993	*	0000	0000	0000	SITELEN PONA START OF LONG PI
F1994	*	0000	0000	0000	SITELEN PONA COMBINING LONG PI EXTENSION
F1995	*	0000	0000	0000	SITELEN PONA STACKING JOINER
F1996	*	0000	0000	0000	SITELEN PONA SCALING JOINER
F1997	*	0000	0000	0000	SITELEN PONA START OF LONG GLYPH
F1998	*	0000	0000	0000	SITELEN PONA END OF LONG GLYPH
F1999	*	0000	0000	0000	SITELEN PONA COMBINING LONG GLYPH EXTENSION
F199A	*	0000	0000	0000	SITELEN PONA START OF REVERSE LONG GLYPH
F199B	*	0000	0000	0000	SITELEN PONA END OF REVERSE LONG GLYPH
F199C	*	0090	0020	0008	SITELEN PONA MIDDLE DOT
F199D	*	0091	0020	0008	SITELEN PONA COLON
